nom,rfc,dit,noc,cbo,folder_name
4.0000,4.0000,0.0000,1.0000,0.0000,Gadgetbridge
1.0000,1.0000,0.0000,1.0000,0.0000,Gadgetbridge
2.0000,2.0000,0.0000,0.0000,0.0000,Gadgetbridge
9.0000,14.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
19.0000,110.0000,2.0000,3.0000,20.0000,Gadgetbridge
19.0000,187.0000,1.0000,0.0000,20.0000,Gadgetbridge
11.0000,11.0000,1.0000,2.0000,0.0000,Gadgetbridge
6.0000,26.0000,0.0000,1.0000,3.0000,Gadgetbridge
5.0000,9.0000,1.0000,0.0000,0.0000,Gadgetbridge
43.0000,164.0000,2.0000,0.0000,3.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
8.0000,52.0000,2.0000,1.0000,5.0000,Gadgetbridge
24.0000,82.0000,3.0000,6.0000,5.0000,Gadgetbridge
22.0000,22.0000,1.0000,2.0000,0.0000,Gadgetbridge
8.0000,8.0000,1.0000,1.0000,0.0000,Gadgetbridge
17.0000,32.0000,0.0000,0.0000,1.0000,Gadgetbridge
1.0000,1.0000,0.0000,0.0000,0.0000,Gadgetbridge
8.0000,17.0000,0.0000,0.0000,0.0000,Gadgetbridge
6.0000,13.0000,0.0000,4.0000,0.0000,Gadgetbridge
14.0000,73.0000,1.0000,0.0000,3.0000,Gadgetbridge
14.0000,79.0000,0.0000,0.0000,4.0000,Gadgetbridge
8.0000,8.0000,0.0000,2.0000,0.0000,Gadgetbridge
4.0000,8.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
1.0000,2.0000,0.0000,0.0000,0.0000,Gadgetbridge
9.0000,19.0000,0.0000,0.0000,0.0000,Gadgetbridge
11.0000,29.0000,0.0000,0.0000,1.0000,Gadgetbridge
4.0000,8.0000,2.0000,3.0000,1.0000,Gadgetbridge
2.0000,6.0000,3.0000,0.0000,1.0000,Gadgetbridge
3.0000,6.0000,2.0000,0.0000,1.0000,Gadgetbridge
3.0000,10.0000,1.0000,0.0000,1.0000,Gadgetbridge
3.0000,4.0000,1.0000,6.0000,1.0000,Gadgetbridge
3.0000,5.0000,1.0000,0.0000,1.0000,Gadgetbridge
3.0000,13.0000,2.0000,0.0000,2.0000,Gadgetbridge
4.0000,14.0000,2.0000,0.0000,1.0000,Gadgetbridge
3.0000,12.0000,2.0000,0.0000,1.0000,Gadgetbridge
2.0000,4.0000,2.0000,0.0000,0.0000,Gadgetbridge
5.0000,15.0000,1.0000,1.0000,1.0000,Gadgetbridge
7.0000,7.0000,2.0000,4.0000,0.0000,Gadgetbridge
1.0000,2.0000,0.0000,0.0000,0.0000,Gadgetbridge
8.0000,8.0000,0.0000,0.0000,0.0000,Gadgetbridge
2.0000,2.0000,0.0000,0.0000,0.0000,Gadgetbridge
5.0000,13.0000,0.0000,0.0000,2.0000,Gadgetbridge
7.0000,27.0000,3.0000,0.0000,8.0000,Gadgetbridge
3.0000,6.0000,0.0000,0.0000,0.0000,Gadgetbridge
2.0000,2.0000,0.0000,0.0000,0.0000,Gadgetbridge
6.0000,17.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
7.0000,12.0000,0.0000,0.0000,0.0000,Gadgetbridge
6.0000,10.0000,1.0000,0.0000,0.0000,Gadgetbridge
6.0000,6.0000,3.0000,0.0000,0.0000,Gadgetbridge
23.0000,68.0000,1.0000,0.0000,0.0000,Gadgetbridge
13.0000,13.0000,3.0000,0.0000,0.0000,Gadgetbridge
1.0000,1.0000,0.0000,0.0000,0.0000,Gadgetbridge
6.0000,6.0000,3.0000,0.0000,0.0000,Gadgetbridge
4.0000,25.0000,1.0000,0.0000,4.0000,Gadgetbridge
13.0000,79.0000,5.0000,1.0000,17.0000,Gadgetbridge
2.0000,2.0000,4.0000,0.0000,0.0000,Gadgetbridge
6.0000,27.0000,5.0000,0.0000,5.0000,Gadgetbridge
